networkStrength,networkType,timeStamp,audioInput.bandwidthMbit,audioInput.totalBytesSent,audioOutput.avgJitterBufferDelay,audioOutput.bandwidthMbit,audioOutput.jitter,audioOutput.packetsLost,audioOutput.packetsReceived,audioOutput.totalBytesReceived,audioOutput.totalSamplesReceived,network.currentRtt,network.localCandidateType,network.networkType,network.remoteCandidateType,network.transportType,rtcConfig.bundlePolicy,rtcConfig.iceCandidatePoolSize,rtcConfig.iceTransportPolicy,rtcConfig.rtcpMuxPolicy,rtcConfig.sdpSemantics,video.bandwidthMbit,video.decodeTime,video.firCount,video.framesDecoded,video.framesDropped,video.framesReceived,video.jitter,video.keyFramesDecoded,video.nackCount,video.packetsLost,video.packetsReceived,video.pliCount,video.totalBytesReceived,video.fps,video.avgJitterBufferDelay
4.0,"MOBILE",1.664424837596E12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","balanced",0.0,"all","require","unified-plan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
4.0,"MOBILE",1.664424837674E12,null,0.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
4.0,"MOBILE",1.664424837755E12,null,130.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,10587.0,2.0,null
4.0,"MOBILE",1.664424837884E12,null,325.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,0.0,9.0,0.005,1.0,0.0,0.0,29.0,0.0,26336.0,7.0,null
4.0,"MOBILE",1.664424837952E12,null,455.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,4.0,15.0,0.007,1.0,0.0,0.0,49.0,0.0,47062.0,13.0,null
4.0,"MOBILE",1.664424838274E12,null,650.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,10.0,21.0,0.007,1.0,0.0,0.0,72.0,0.0,70429.0,19.0,null
4.0,"MOBILE",1.664424838277E12,null,780.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,16.0,27.0,0.006,1.0,0.0,0.0,78.0,0.0,70484.0,25.0,null
4.0,"MOBILE",1.664424838281E12,null,943.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,23.0,32.0,0.005,1.0,0.0,0.0,88.0,0.0,76046.0,30.0,null
4.0,"MOBILE",1.664424838354E12,null,1137.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.0,0.0,0.0,29.0,39.0,0.005,1.0,0.0,0.0,99.0,0.0,82675.0,36.0,null
4.0,"MOBILE",1.664424838453E12,null,1267.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.103,0.0,9.0,32.0,45.0,0.003,1.0,0.0,0.0,105.0,0.0,82771.0,42.0,0.0355
4.0,"MOBILE",1.664424838544E12,null,1430.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.06182353,0.0,17.0,32.0,51.0,0.003,1.0,0.0,0.0,111.0,0.0,82867.0,48.0,0.094222225
4.0,"MOBILE",1.664424838644E12,null,1593.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.04752174,0.0,23.0,32.0,57.0,0.002,1.0,0.0,0.0,117.0,0.0,82963.0,54.0,0.1012
4.0,"MOBILE",1.66442483875E12,null,1755.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.04042857,0.0,28.0,32.0,63.0,0.002,1.0,0.0,0.0,123.0,0.0,83059.0,58.0,0.10285714
4.0,"MOBILE",1.664424838848E12,null,1917.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.064,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.034085713,0.0,35.0,32.0,69.0,0.002,1.0,0.0,0.0,129.0,0.0,83155.0,59.0,0.101555556
4.0,"MOBILE",1.664424838945E12,null,2080.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.030146342,0.0,41.0,32.0,75.0,0.002,1.0,0.0,0.0,135.0,0.0,83251.0,59.0,0.1009375
4.0,"MOBILE",1.66442483904E12,null,2243.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.027361702,0.0,47.0,32.0,81.0,0.001,1.0,0.0,0.0,141.0,0.0,83347.0,59.0,0.10047369
4.0,"MOBILE",1.664424839146E12,null,2405.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.025056604,0.0,53.0,32.0,87.0,0.001,1.0,0.0,0.0,147.0,0.0,83443.0,59.0,0.0976
4.0,"MOBILE",1.66442483925E12,null,2567.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.023254238,0.0,59.0,32.0,93.0,0.001,1.0,0.0,0.0,153.0,0.0,83539.0,60.0,0.095764704
4.0,"MOBILE",1.664424839348E12,null,2730.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.021861538,0.0,65.0,32.0,99.0,0.002,1.0,0.0,0.0,159.0,0.0,83635.0,60.0,0.09431579
4.0,"MOBILE",1.664424839441E12,null,2893.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.020633804,0.0,71.0,32.0,105.0,0.003,1.0,0.0,0.0,165.0,0.0,83707.0,60.0,0.09274194
4.0,"MOBILE",1.664424839546E12,null,3055.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.019688312,0.0,77.0,32.0,111.0,0.003,1.0,0.0,0.0,171.0,0.0,83755.0,60.0,0.091
4.0,"MOBILE",1.664424839647E12,null,3217.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.018807229,0.0,83.0,32.0,117.0,0.003,1.0,0.0,0.0,177.0,0.0,83803.0,60.0,0.08954054
4.0,"MOBILE",1.664424839745E12,null,3380.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.018089887,0.0,89.0,32.0,123.0,0.002,1.0,0.0,0.0,183.0,0.0,83851.0,60.0,0.0882
4.0,"MOBILE",1.664424839839E12,null,3543.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.017357895,0.0,95.0,32.0,129.0,0.002,1.0,0.0,0.0,189.0,0.0,83899.0,60.0,0.086790696
4.0,"MOBILE",1.664424839947E12,null,3729.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.039,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.016762376,0.0,101.0,32.0,135.0,0.002,1.0,0.0,0.0,195.0,0.0,83947.0,60.0,0.08556522
4.0,"MOBILE",1.664424840066E12,null,3931.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.01635514,0.0,107.0,32.0,141.0,0.002,1.0,0.0,0.0,201.0,0.0,83995.0,60.0,0.08448979
4.0,"MOBILE",1.664424840143E12,null,4134.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.015929203,0.0,113.0,32.0,147.0,0.002,1.0,0.0,0.0,207.0,0.0,84043.0,60.0,0.083076924
4.0,"MOBILE",1.664424840246E12,null,4337.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.015579832,0.0,119.0,32.0,153.0,0.003,1.0,0.0,0.0,213.0,0.0,84091.0,60.0,0.08181818
4.0,"MOBILE",1.664424840355E12,null,4579.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.015264,0.0,125.0,32.0,159.0,0.002,1.0,0.0,0.0,219.0,0.0,84139.0,60.0,0.080689654
4.0,"MOBILE",1.664424840447E12,null,4741.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.036,"srflx","unknown","srflx","udp","balanced",0.0,"all","require","unified-plan",null,0.015038168,0.0,131.0,32.0,165.0,0.002,1.0,0.0,0.0,225.0,0.0,84187.0,60.0,0.07967213
